Symbol,Company Name,Nifty 50,Nifty 100,Nifty Total Market,Nifty Midcap 150,Nifty Midcap 100,Nifty Smallcap 250,Nifty Smallcap 500
TATACONSUM,Tata Consumer Products Ltd.,Yes,Yes,Yes,No,No,No,No
TATAELXSI,Tata Elxsi Ltd.,No,No,Yes,Yes,Yes,No,No
TATAINVEST,Tata Investment Corporation Ltd.,No,No,Yes,Yes,Yes,No,No
TATAPOWER,Tata Power Co. Ltd.,No,Yes,Yes,No,No,No,No
TATASTEEL,Tata Steel Ltd.,Yes,Yes,Yes,No,No,No,No
TATATECH,Tata Technologies Ltd.,No,No,Yes,No,No,Yes,Yes
TBOTEK,TBO Tek Ltd.,No,No,Yes,No,No,Yes,Yes
TCS,Tata Consultancy Services Ltd.,Yes,Yes,Yes,No,No,No,No
TDPOWERSYS,TD Power Systems Ltd.,No,No,Yes,No,No,No,Yes
TECHM,Tech Mahindra Ltd.,Yes,Yes,Yes,No,No,No,No
TECHNOE,Techno Electric & Engineering Company Ltd.,No,No,Yes,No,No,Yes,Yes
TEGA,Tega Industries Ltd.,No,No,Yes,No,No,Yes,Yes
TEJASNET,Tejas Networks Ltd.,No,No,Yes,No,No,Yes,Yes
TENNIND,Tenneco Clean Air India Ltd.,No,No,Yes,No,No,Yes,Yes
TEXRAIL,Texmaco Rail & Eng. Ltd.,No,No,Yes,No,No,No,Yes
THANGAMAYL,Thangamayil Jewellery Ltd.,No,No,Yes,No,No,No,Yes
THELEELA,Leela Palaces Hotels & Resorts Ltd.,No,No,Yes,No,No,Yes,Yes
THERMAX,Thermax Ltd.,No,No,Yes,Yes,No,No,No
THOMASCOOK,Thomas Cook (India) Ltd.,No,No,Yes,No,No,No,Yes
THYROCARE,Thyrocare Technologies Ltd.,No,No,Yes,No,No,No,Yes
TI,Tilaknagar Industries Ltd.,No,No,Yes,No,No,No,Yes
TIINDIA,Tube Investments of India Ltd.,No,No,Yes,Yes,Yes,No,No
TIMETECHNO,Time Technoplast Ltd.,No,No,Yes,No,No,No,Yes
TIMKEN,Timken India Ltd.,No,No,Yes,No,No,Yes,Yes
TIPSMUSIC,Tips Music Ltd.,No,No,Yes,No,No,No,Yes
TITAGARH,Titagarh Rail Systems Ltd.,No,No,Yes,No,No,Yes,Yes
TITAN,Titan Company Ltd.,Yes,Yes,Yes,No,No,No,No
TMB,Tamilnad Mercantile Bank Ltd.,No,No,Yes,No,No,No,Yes
TMCV,Tata Motors Ltd.,No,Yes,Yes,No,No,No,No
TMPV,Tata Motors Passenger Vehicles Ltd.,Yes,Yes,Yes,No,No,No,No
TORNTPHARM,Torrent Pharmaceuticals Ltd.,No,Yes,Yes,No,No,No,No
TORNTPOWER,Torrent Power Ltd.,No,No,Yes,Yes,No,No,No
TRANSRAILL,Transrail Lighting Ltd.,No,No,Yes,No,No,No,Yes
TRAVELFOOD,Travel Food Services Ltd.,No,No,Yes,No,No,Yes,Yes
TRENT,Trent Ltd.,Yes,Yes,Yes,No,No,No,No
TRIDENT,Trident Ltd.,No,No,Yes,No,No,Yes,Yes
TRITURBINE,Triveni Turbine Ltd.,No,No,Yes,No,No,Yes,Yes
TRIVENI,Triveni Engineering & Industries Ltd.,No,No,Yes,No,No,No,Yes
TSFINV,TSF Investments Ltd.,No,No,Yes,No,No,No,Yes
TTML,Tata Teleservices (Maharashtra) Ltd.,No,No,Yes,No,No,Yes,Yes
TVSHLTD,TVS Holdings Ltd.,No,No,No,No,No,No,Yes
TVSMOTOR,TVS Motor Company Ltd.,No,Yes,Yes,No,No,No,No
TVSSCS,TVS Supply Chain Solutions Ltd.,No,No,Yes,No,No,No,Yes
UBL,United Breweries Ltd.,No,No,Yes,Yes,No,No,No
UCOBANK,UCO Bank,No,No,Yes,No,No,Yes,Yes
UJJIVANSFB,Ujjivan Small Finance Bank Ltd.,No,No,Yes,No,No,No,Yes
ULTRACEMCO,UltraTech Cement Ltd.,Yes,Yes,Yes,No,No,No,No
UNIONBANK,Union Bank of India,No,Yes,Yes,No,No,No,No
UNITDSPR,United Spirits Ltd.,No,Yes,Yes,No,No,No,No
UNOMINDA,UNO Minda Ltd.,No,No,Yes,Yes,No,No,No
UPL,UPL Ltd.,No,No,Yes,Yes,Yes,No,No
URBANCO,Urban Company Ltd.,No,No,Yes,No,No,Yes,Yes
USHAMART,Usha Martin Ltd.,No,No,Yes,No,No,Yes,Yes
UTIAMC,UTI Asset Management Company Ltd.,No,No,Yes,No,No,Yes,Yes
UTLSOLAR,Fujiyama Power Systems Ltd.,No,No,Yes,No,No,No,Yes
V2RETAIL,V2 Retail Ltd.,No,No,Yes,No,No,No,Yes
VAIBHAVGBL,Vaibhav Global Ltd.,No,No,Yes,No,No,No,Yes
VARROC,Varroc Engineering Ltd.,No,No,Yes,No,No,No,Yes
VBL,Varun Beverages Ltd.,No,Yes,Yes,No,No,No,No
VEDL,Vedanta Ltd.,No,Yes,Yes,No,No,No,No
VGUARD,V-Guard Industries Ltd.,No,No,Yes,No,No,No,Yes
VIJAYA,Vijaya Diagnostic Centre Ltd.,No,No,Yes,No,No,Yes,Yes
VIKRAMSOLR,Vikram Solar Ltd.,No,No,Yes,No,No,No,Yes
VIPIND,V.I.P. Industries Ltd.,No,No,Yes,No,No,No,Yes
VIYASH,Viyash Scientific Ltd.,No,No,Yes,No,No,No,Yes
VMART,V-Mart Retail Ltd.,No,No,Yes,No,No,No,Yes
VMM,Vishal Mega Mart Ltd.,No,No,Yes,Yes,Yes,No,No
VOLTAMP,Voltamp Transformers Ltd,No,No,Yes,No,No,No,Yes
VOLTAS,Voltas Ltd.,No,No,Yes,Yes,Yes,No,No
VTL,Vardhman Textiles Ltd.,No,No,Yes,No,No,Yes,Yes
WAAREEENER,Waaree Energies Ltd.,No,No,Yes,Yes,Yes,No,No
WAAREERTL,Waaree Renewable Technologies Ltd.,No,No,Yes,No,No,No,Yes
WABAG,Va Tech Wabag Ltd.,No,No,Yes,No,No,No,Yes
WAKEFIT,Wakefit Innovations Ltd.,No,No,Yes,No,No,No,Yes
WEBELSOLAR,Websol Energy System Ltd.,No,No,Yes,No,No,No,Yes
WELCORP,Welspun Corp Ltd.,No,No,Yes,No,No,Yes,Yes
WELENT,Welspun Enterprises Ltd.,No,No,Yes,No,No,No,Yes
WELSPUNLIV,Welspun Living Ltd.,No,No,Yes,No,No,Yes,Yes
WESTLIFE,Westlife Foodworld Ltd.,No,No,Yes,No,No,No,Yes
WEWORK,WeWork India Management Ltd.,No,No,Yes,No,No,No,Yes
WHIRLPOOL,Whirlpool of India Ltd.,No,No,Yes,No,No,Yes,Yes
WIPRO,Wipro Ltd.,Yes,Yes,Yes,No,No,No,No
WOCKPHARMA,Wockhardt Ltd.,No,No,Yes,No,No,Yes,Yes
YATHARTH,Yatharth Hospital & Trauma Care Services Ltd.,No,No,Yes,No,No,No,Yes
YESBANK,Yes Bank Ltd.,No,No,Yes,Yes,Yes,No,No
ZAGGLE,Zaggle Prepaid Ocean Services Ltd.,No,No,Yes,No,No,No,Yes
ZEEL,Zee Entertainment Enterprises Ltd.,No,No,Yes,No,No,Yes,Yes
ZENSARTECH,Zensar Technolgies Ltd.,No,No,Yes,No,No,Yes,Yes
ZENTEC,Zen Technologies Ltd.,No,No,Yes,No,No,Yes,Yes
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Ltd.,No,No,Yes,No,No,Yes,Yes
ZYDUSLIFE,Zydus Lifesciences Ltd.,No,Yes,Yes,No,No,No,No
ZYDUSWELL,Zydus Wellness Ltd.,No,No,Yes,No,No,Yes,Yes
