Symbol,Company Name,Nifty 50,Nifty 100,Nifty Total Market,Nifty Midcap 150,Nifty Midcap 100,Nifty Smallcap 250,Nifty Smallcap 500
CASTROLIND,Castrol India Ltd.,No,No,Yes,No,No,Yes,Yes
CCAVENUE,AvenuesAI Ltd.,No,No,Yes,No,No,No,Yes
CCL,CCL Products (I) Ltd.,No,No,Yes,No,No,Yes,Yes
CDSL,Central Depository Services (India) Ltd.,No,No,Yes,No,No,Yes,Yes
CEATLTD,Ceat Ltd.,No,No,Yes,No,No,Yes,Yes
CELLO,Cello World Ltd.,No,No,Yes,No,No,No,Yes
CEMPRO,Cemindia Projects Ltd.,No,No,Yes,No,No,Yes,Yes
CENTRALBK,Central Bank of India,No,No,Yes,No,No,Yes,Yes
CENTURYPLY,Century Plyboards (India) Ltd.,No,No,Yes,No,No,No,Yes
CERA,Cera Sanitaryware Ltd,No,No,Yes,No,No,No,Yes
CESC,CESC Ltd.,No,No,Yes,No,No,Yes,Yes
CGCL,Capri Global Capital Ltd.,No,No,Yes,No,No,Yes,Yes
CGPOWER,CG Power and Industrial Solutions Ltd.,No,Yes,Yes,No,No,No,No
CHALET,Chalet Hotels Ltd.,No,No,Yes,No,No,Yes,Yes
CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd.,No,No,Yes,No,No,Yes,Yes
CHENNPETRO,Chennai Petroleum Corporation Ltd.,No,No,Yes,No,No,Yes,Yes
CHOICEIN,Choice International Ltd.,No,No,Yes,No,No,Yes,Yes
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,No,Yes,Yes,No,No,No,No
CHOLAHLDNG,Cholamandalam Financial Holdings Ltd.,No,No,Yes,No,No,Yes,Yes
CIEINDIA,CIE Automotive India Ltd.,No,No,Yes,No,No,Yes,Yes
CIPLA,Cipla Ltd.,Yes,Yes,Yes,No,No,No,No
CLEAN,Clean Science and Technology Ltd.,No,No,Yes,No,No,Yes,Yes
CMSINFO,CMS Info Systems Ltd.,No,No,Yes,No,No,No,Yes
COALINDIA,Coal India Ltd.,Yes,Yes,Yes,No,No,No,No
COCHINSHIP,Cochin Shipyard Ltd.,No,No,Yes,Yes,Yes,No,No
COFORGE,Coforge Ltd.,No,No,Yes,Yes,Yes,No,No
COHANCE,Cohance Lifesciences Ltd.,No,No,Yes,No,No,Yes,Yes
COLPAL,Colgate Palmolive (India) Ltd.,No,No,Yes,Yes,Yes,No,No
CONCOR,Container Corporation of India Ltd.,No,No,Yes,Yes,Yes,No,No
CONCORDBIO,Concord Biotech Ltd.,No,No,Yes,No,No,Yes,Yes
COROMANDEL,Coromandel International Ltd.,No,No,Yes,Yes,Yes,No,No
CORONA,CORONA Remedies Ltd.,No,No,Yes,No,No,No,No
CPPLUS,Aditya Infotech Ltd.,No,No,Yes,No,No,Yes,Yes
CRAFTSMAN,Craftsman Automation Ltd.,No,No,Yes,No,No,Yes,Yes
CRAMC,Canara Robeco Asset Management Company Ltd.,No,No,Yes,No,No,No,Yes
CREDITACC,CreditAccess Grameen Ltd.,No,No,Yes,No,No,Yes,Yes
CRISIL,CRISIL Ltd.,No,No,Yes,Yes,No,No,No
CRIZAC,Crizac Ltd.,No,No,Yes,No,No,No,No
CROMPTON,Crompton Greaves Consumer Electricals Ltd.,No,No,Yes,No,No,Yes,Yes
CSBBANK,CSB Bank Ltd.,No,No,Yes,No,No,No,Yes
CUB,City Union Bank Ltd.,No,No,Yes,No,No,Yes,Yes
CUMMINSIND,Cummins India Ltd.,No,Yes,Yes,No,No,No,No
CUPID,Cupid Ltd.,No,No,Yes,No,No,No,Yes
CYIENT,Cyient Ltd.,No,No,Yes,No,No,Yes,Yes
DABUR,Dabur India Ltd.,No,No,Yes,Yes,Yes,No,No
DALBHARAT,Dalmia Bharat Ltd.,No,No,Yes,Yes,No,No,No
DATAMATICS,Datamatics Global Services Ltd.,No,No,Yes,No,No,No,Yes
DATAPATTNS,Data Patterns (India) Ltd.,No,No,Yes,No,No,Yes,Yes
DBL,Dilip Buildcon Ltd.,No,No,Yes,No,No,No,Yes
DBREALTY,VALOR ESTATE Ltd.,No,No,Yes,No,No,No,Yes
DCBBANK,DCB Bank Ltd.,No,No,Yes,No,No,No,Yes
DCMSHRIRAM,DCM Shriram Ltd.,No,No,Yes,No,No,Yes,Yes
DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corp. Ltd.,No,No,Yes,No,No,Yes,Yes
DEEPAKNTR,Deepak Nitrite Ltd.,No,No,Yes,No,No,Yes,Yes
DELHIVERY,Delhivery Ltd.,No,No,Yes,No,No,Yes,Yes
DEVYANI,Devyani International Ltd.,No,No,Yes,No,No,Yes,Yes
DIACABS,Diamond Power Infrastructure Ltd.,No,No,Yes,No,No,No,Yes
DIVISLAB,Divi's Laboratories Ltd.,No,Yes,Yes,No,No,No,No
DIXON,Dixon Technologies (India) Ltd.,No,No,Yes,Yes,Yes,No,No
DLF,DLF Ltd.,No,Yes,Yes,No,No,No,No
DMART,Avenue Supermarts Ltd.,No,Yes,Yes,No,No,No,No
DOMS,DOMS Industries Ltd.,No,No,Yes,No,No,Yes,Yes
DRREDDY,Dr. Reddy's Laboratories Ltd.,Yes,Yes,Yes,No,No,No,No
DUMMYHEG,Dummy HEG Ltd.,No,No,No,No,No,Yes,Yes
DUMMYINGL1,Dummy India Glycols ltd. 1,No,No,Yes,No,No,No,Yes
DUMMYINGL2,Dummy India Glycols ltd. 2,No,No,Yes,No,No,No,Yes
DUMMYINXGN,Dummy Inox Green Ltd.,No,No,Yes,No,No,No,Yes
DUMMYTRVN,Dummy Triveni Ltd.,No,No,Yes,No,No,No,Yes
DUMMYVEDL1,,No,No,Yes,No,No,No,No
DUMMYVEDL2,,No,No,Yes,No,No,No,No
DUMMYVEDL3,,No,No,Yes,No,No,No,No
DUMMYVEDL4,,No,No,Yes,No,No,No,No
DYNAMATECH,Dynamatic Technologies Ltd.,No,No,Yes,No,No,No,Yes
ECLERX,eClerx Services Ltd.,No,No,Yes,No,No,Yes,Yes
EDELWEISS,Edelweiss Financial Services Ltd.,No,No,Yes,No,No,No,Yes
EICHERMOT,Eicher Motors Ltd.,Yes,Yes,Yes,No,No,No,No
EIDPARRY,E.I.D. Parry (India) Ltd.,No,No,Yes,No,No,Yes,Yes
EIEL,Enviro Infra Engineers Ltd.,No,No,Yes,No,No,No,No
EIHOTEL,EIH Ltd.,No,No,Yes,No,No,Yes,Yes
ELECON,Elecon Engineering Co. Ltd.,No,No,Yes,No,No,Yes,Yes
ELECTCAST,Electrosteel Castings Ltd.,No,No,Yes,No,No,No,Yes
ELGIEQUIP,Elgi Equipments Ltd.,No,No,Yes,No,No,Yes,Yes
ELLEN,Ellenbarrie Industrial Gases Ltd.,No,No,Yes,No,No,No,Yes
EMAMILTD,Emami Ltd.,No,No,Yes,No,No,Yes,Yes
EMBDL,Embassy Developments Ltd.,No,No,Yes,No,No,No,Yes
EMCURE,Emcure Pharmaceuticals Ltd.,No,No,Yes,No,No,Yes,Yes
EMIL,Electronics Mart India Ltd.,No,No,Yes,No,No,No,Yes
EMMVEE,Emmvee Photovoltaic Power Ltd.,No,No,Yes,No,No,Yes,Yes
ENDURANCE,Endurance Technologies Ltd.,No,No,Yes,Yes,No,No,No
ENGINERSIN,Engineers India Ltd.,No,No,Yes,No,No,Yes,Yes
ENRIN,Siemens Energy India Ltd.,No,Yes,Yes,No,No,No,No
ENTERO,Entero Healthcare Solutions Ltd.,No,No,Yes,No,No,No,Yes
EPL,EPL Ltd.,No,No,Yes,No,No,No,Yes
EQUITASBNK,Equitas Small Finance Bank Ltd.,No,No,Yes,No,No,No,Yes
ERIS,Eris Lifesciences Ltd.,No,No,Yes,No,No,Yes,Yes
ESCORTS,Escorts Kubota Ltd.,No,No,Yes,Yes,No,No,No
ETERNAL,Eternal Ltd.,Yes,Yes,Yes,No,No,No,No
ETHOSLTD,Ethos Ltd.,No,No,Yes,No,No,No,Yes
EUREKAFORB,Eureka Forbes Ltd.,No,No,Yes,No,No,No,Yes
EXIDEIND,Exide Industries Ltd.,No,No,Yes,Yes,Yes,No,No
FACT,Fertilisers and Chemicals Travancore Ltd.,No,No,Yes,No,No,Yes,Yes
FEDERALBNK,Federal Bank Ltd.,No,No,Yes,Yes,Yes,No,No
FEDFINA,Fedbank Financial Services Ltd.,No,No,Yes,No,No,No,Yes
FIEMIND,Fiem Industries Ltd,No,No,Yes,No,No,No,Yes
FINCABLES,Finolex Cables Ltd.,No,No,Yes,No,No,Yes,Yes
FINPIPE,Finolex Industries Ltd.,No,No,Yes,No,No,No,Yes
FIRSTCRY,Brainbees Solutions Ltd.,No,No,Yes,No,No,Yes,Yes
FIVESTAR,Five-Star Business Finance Ltd.,No,No,Yes,No,No,Yes,Yes
FLUOROCHEM,Gujarat Fluorochemicals Ltd.,No,No,Yes,Yes,No,No,No
FORCEMOT,Force Motors Ltd.,No,No,Yes,No,No,Yes,Yes
FORTIS,Fortis Healthcare Ltd.,No,No,Yes,Yes,Yes,No,No
FSL,Firstsource Solutions Ltd.,No,No,Yes,No,No,Yes,Yes
GABRIEL,Gabriel India Ltd.,No,No,Yes,No,No,Yes,Yes
GAEL,Gujarat Ambuja Exports Ltd.,No,No,Yes,No,No,No,Yes
