S.No.,Company,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,ROE 10Yr  %,CMP / BV,Ind PBV,Symbol,Industry
339.0,Bombay Super Hyb,86.5,31.64,907.7,0.0,14.3,16.54,182.57,19.37,16.02,26.62,6.93,2.41,BSHSL,Agricultural Inputs
340.0,CCL Products,1044.65,32.24,13948.99,0.54,116.88,61.33,1200.45,13.72,15.85,18.47,5.98,0.98,CCL,Fast Moving Consumer Goods
341.0,Hariom Pipe,344.0,15.3,1065.29,0.21,17.36,-26.47,429.18,-6.89,15.82,15.28,1.67,2.04,HARIOMPIPE,Steel
342.0,Muthoot Finance,2826.0,10.0,113454.99,1.06,2824.84,38.83,8671.6,34.44,15.8,23.62,2.81,1.79,MUTHOOTFIN,Financial Services
343.0,Blue Dart Expres,4736.6,34.69,11240.0,0.52,88.49,81.22,1657.72,14.97,15.77,23.81,6.36,2.27,BLUEDART,Services
344.0,Innovana Think.,303.55,20.36,627.15,0.0,5.53,-56.6,38.97,21.44,15.76,24.44,2.32,3.52,INNOVANA,Software - Application
345.0,Granules India,866.9,36.39,23647.23,0.21,179.96,36.62,1476.77,22.04,15.51,16.57,4.24,4.16,GRANULES,Healthcare
346.0,Narayana Hrudaya,1861.95,44.2,38050.98,0.24,207.27,5.71,2683.63,78.05,15.5,20.24,8.46,6.18,NH,Healthcare
347.0,Aptus Value Hou.,244.7,12.47,12255.31,1.82,260.94,19.01,600.29,15.38,15.41,17.12,2.4,1.69,APTUS,Financial Services
348.0,Sh. Jagdamba Pol,660.0,12.18,578.03,0.14,18.95,74.98,180.92,28.63,15.34,21.0,1.73,2.0,SHRJAGP,Textile Manufacturing
349.0,Epigral,1060.0,16.84,4572.98,0.47,99.18,-38.17,705.36,16.29,15.3,25.43,2.09,2.89,EPIGRAL,Chemicals
350.0,Hatsun Agro,1167.25,71.18,26000.29,0.86,133.69,-9.72,3090.49,21.92,15.19,18.88,13.32,3.96,HATSUN,Packaged Foods
351.0,Torrent Pharma.,4940.0,84.21,187901.72,0.77,566.0,5.79,4921.0,54.85,15.19,21.68,19.97,4.16,TORNTPHARM,Healthcare
352.0,Roto Pumps,62.7,42.62,1181.52,0.3,9.25,46.83,75.6,14.75,15.16,17.79,4.91,6.48,ROTO,Specialty Industrial Machinery
353.0,Sona BLW Precis.,821.65,65.99,51281.49,0.42,220.11,73.37,1157.24,50.82,15.11,15.91,8.72,3.65,SONACOMS,Automobile and Auto Components
354.0,J K Cements,4999.0,39.55,38626.4,0.39,274.62,-14.47,4031.72,20.26,15.1,15.24,5.5,1.84,JKCEMENT,Construction Materials
355.0,Adani Total Gas,611.7,110.69,67275.38,0.04,133.03,-17.97,1743.48,27.1,15.09,20.0,13.95,1.77,ATGL,Oil Gas & Consumable Fuels
356.0,P I Industries,2389.1,33.58,36247.05,0.63,244.2,-38.95,1702.3,-10.43,14.99,17.31,3.22,2.36,PIIND,Chemicals
357.0,Kellton Tech,13.48,7.8,716.34,0.0,22.32,-1.46,315.62,6.82,14.96,18.34,0.87,3.01,KELLTONTEC,Software - Application
358.0,SBI Life Insuran,1741.75,67.23,174768.1,0.15,724.93,21.97,46336.78,18.82,14.95,15.13,8.73,7.3,SBILIFE,Financial Services
359.0,Kapston Services,533.85,53.43,1624.62,0.0,8.49,39.18,220.13,15.74,14.95,20.01,13.96,2.03,KAPSTON,Specialty Business Services
360.0,Jubilant Food.,486.6,84.22,32108.1,0.25,100.03,6.11,2569.65,13.66,14.8,18.7,14.06,9.11,JUBLFOOD,Consumer Services
361.0,Five-Star Bus.Fi,521.25,13.94,15387.09,0.38,271.41,1.92,828.98,5.38,14.79,16.5,2.08,1.79,FIVESTAR,Financial Services
362.0,Angel One,287.8,25.45,26305.98,1.39,231.4,102.15,1429.69,25.35,14.77,28.4,4.32,2.21,ANGELONE,Financial Services
363.0,Kalyani Steels,965.7,15.7,4215.59,1.05,67.61,10.89,464.58,4.93,14.66,15.38,2.06,2.04,KSL,Steel
364.0,TCI Express,501.05,21.17,1926.26,1.41,22.38,6.37,311.95,8.79,14.63,20.78,2.33,2.27,TCIEXP,Integrated Freight & Logistics
365.0,SRF,2530.0,33.43,74995.45,0.36,758.87,75.53,5033.26,31.81,14.61,16.68,5.39,1.3,SRF,Chemicals
366.0,WPIL,432.5,24.93,4224.24,0.47,59.01,51.3,500.54,32.22,14.58,19.65,2.64,4.86,WPIL,Specialty Industrial Machinery
367.0,Ellen.Indl.Gas,368.95,43.14,5199.81,0.0,34.96,86.85,98.72,18.04,14.47,16.49,5.23,4.45,ELLEN,Chemicals
368.0,Suyog Telematics,649.0,12.85,760.44,0.15,13.93,-18.11,65.27,2.16,14.42,20.04,1.54,2.57,SUYOG,Telecom Services
369.0,ION Exchange,420.65,56.06,6169.52,0.29,3.06,-91.56,700.46,20.11,14.17,21.65,4.59,2.87,IONEXCHANG,Pollution & Treatment Controls
370.0,Shree Ganesh Rem,670.05,55.67,860.18,0.0,1.12,-67.54,14.36,-41.79,14.16,19.04,5.34,4.16,SGRL,Drug Manufacturers - Specialty & Generic
371.0,ERIS Lifescience,1259.35,26.67,17472.05,0.57,143.32,20.68,873.25,12.97,14.13,21.21,4.5,4.16,ERIS,Healthcare
372.0,Adani Ports,1790.0,31.03,412408.69,0.42,3649.5,9.23,10820.8,18.57,14.12,17.34,4.24,3.8,ADANIPORTS,Services
373.0,Likhitha Infra.,227.2,26.81,896.29,0.0,7.34,-47.23,85.06,-30.51,14.04,21.7,2.15,1.71,LIKHITHA,Oil & Gas Equipment & Services
374.0,Tasty Bite Eat.,9976.0,70.55,2559.85,0.1,8.84,7.94,155.75,28.6,14.03,15.74,7.47,4.79,TASTYBITE,Packaged Foods
375.0,Kama Holdings,2237.35,6.34,7179.79,1.86,761.5,73.56,5070.88,31.48,14.0,15.92,0.89,1.53,KAMAHOLD,Conglomerates
376.0,GRM Overseas,80.6,21.85,1670.12,0.0,21.04,10.21,426.51,30.52,13.99,22.89,2.81,2.41,GRMOVER,Packaged Foods
377.0,BCL Industries,33.7,8.56,994.59,1.01,35.52,5.29,583.19,-26.36,13.87,15.76,1.12,2.19,BCLIND,Beverages - Wineries & Distilleries
378.0,Bharat Dynamics,1140.0,80.33,41788.06,0.42,118.79,547.36,572.24,130.81,13.86,16.5,9.84,9.39,BDL,Capital Goods
379.0,GMM Pfaudler,1509.1,53.84,6784.51,0.14,22.1,114.35,924.76,16.39,13.64,15.62,5.64,4.86,GMMPFAUDLR,Specialty Industrial Machinery
380.0,Authum Invest,556.95,22.61,47297.58,0.02,1114.81,18.43,1448.22,19.65,13.63,25.02,3.22,1.79,AIIL,Financial Services
381.0,Ashok Leyland,158.8,25.03,93276.82,2.2,667.77,0.78,13069.59,11.62,13.63,18.64,6.57,9.57,ASHOKLEY,Capital Goods
382.0,Galaxy Surfact.,2266.45,22.1,8035.61,0.98,165.92,108.73,1781.9,39.44,13.53,18.14,2.93,2.89,GALAXYSURF,Specialty Chemicals
383.0,Kirl. Ferrous,483.75,20.43,7989.18,1.24,82.32,-55.28,1771.51,4.32,13.42,15.93,2.07,2.11,KIRLFER,Metal Fabrication
384.0,SKF India,1538.1,51.21,7604.06,2.59,61.84,32.31,587.79,27.09,13.33,19.0,5.71,6.53,SKFINDIA,Tools & Accessories
385.0,Aegis Logistics,1366.65,38.32,47969.45,0.62,544.84,268.9,2356.86,37.07,13.33,15.34,7.89,7.94,AEGISLOG,Oil Gas & Consumable Fuels
386.0,Rajratan Global,470.7,30.01,2389.81,0.42,22.96,69.82,318.35,29.14,13.23,19.42,3.66,3.65,RAJRATAN,Steel
387.0,Sportking India,213.7,16.79,2715.52,0.46,75.97,122.79,703.68,20.12,13.22,20.39,2.63,1.68,SPORTKING,Textile Manufacturing
388.0,Motil.Oswal.Fin.,1034.55,31.49,62381.03,0.58,1273.71,9.56,3425.76,25.16,12.66,21.88,4.81,2.21,MOTILALOFS,Financial Services
389.0,Alembic Pharma,865.1,22.82,17004.68,1.37,172.36,12.11,2149.77,25.66,12.64,16.07,2.98,4.16,APLLTD,Drug Manufacturers - Specialty & Generic
390.0,Nitin Spinners,612.2,16.26,3441.78,0.5,75.27,83.63,875.03,10.3,12.21,16.76,2.3,1.68,NITINSPIN,Textile Manufacturing
391.0,Gufic BioScience,420.45,57.35,4216.38,0.02,22.46,86.08,260.82,14.94,12.17,19.83,6.33,4.16,GUFICBIO,Drug Manufacturers - Specialty & Generic
392.0,Aarti Drugs,430.0,20.37,3924.62,0.46,50.13,-4.14,702.78,19.01,12.03,17.89,2.57,4.16,AARTIDRUGS,Drug Manufacturers - Specialty & Generic
393.0,G R Infraproject,816.85,8.42,7903.89,0.31,357.79,27.71,2784.11,40.06,11.92,19.56,0.85,1.71,GRINFRA,Engineering & Construction
394.0,Bajaj Steel Inds,349.8,24.89,727.58,0.3,-0.27,-103.65,120.35,11.92,11.74,18.05,1.71,4.86,BAJAJST,Specialty Industrial Machinery
395.0,Gujarat Energy,236.2,11.39,22161.0,3.74,1007.4,69.8,9544.98,63.12,11.73,21.51,0.88,1.77,GUJENERGY,Utilities - Regulated Gas
396.0,DCM Shriram,976.9,11.13,15233.97,1.14,693.44,445.4,3564.24,9.27,11.51,15.13,1.97,1.51,DCMSHRIRAM,Diversified
397.0,Oil India,474.0,9.29,77101.19,2.43,4026.83,91.4,12503.32,57.7,11.51,15.4,1.33,2.51,OIL,Oil Gas & Consumable Fuels
398.0,Shriram Finance,991.55,20.66,233316.21,1.08,3452.77,59.89,13400.43,16.16,11.49,15.55,2.88,1.79,SHRIRAMFIN,Financial Services
399.0,Pokarna,732.0,23.91,2269.48,0.08,42.6,50.58,189.41,10.79,11.48,19.23,2.64,1.86,POKARNA,Building Products & Equipment
400.0,Arihant Capital,93.36,25.54,1023.31,0.53,21.49,69.21,77.91,53.46,11.47,16.01,2.33,2.21,ARIHANTCAP,Capital Markets
401.0,Century Plyboard,693.45,51.91,15406.59,0.14,83.3,54.84,1561.38,33.52,11.46,16.16,5.92,2.53,CENTURYPLY,Lumber & Wood Production
402.0,Deepak Nitrite,1587.95,27.37,21658.56,0.47,345.01,207.5,2577.6,36.39,11.37,20.26,3.73,2.89,DEEPAKNTR,Chemicals
403.0,H.G. Infra Engg.,453.0,11.29,2952.32,0.43,-44.52,-41.78,1100.59,-25.75,11.33,20.54,0.92,1.71,HGINFRA,Engineering & Construction
404.0,IOL Chemicals,205.0,34.09,6017.29,0.48,64.48,89.87,756.26,37.08,11.29,17.51,3.32,4.16,IOLCP,Drug Manufacturers - Specialty & Generic
405.0,Cosmo First,855.4,13.09,2245.42,0.48,53.75,25.38,1165.54,45.69,11.23,15.65,1.41,2.0,COSMOFIRST,Packaging & Containers
406.0,Balkrishna Inds,2181.95,30.01,42180.81,0.74,450.77,56.35,3455.27,25.19,11.18,16.09,3.84,1.84,BALKRISIND,Automobile and Auto Components
407.0,Balaji Amines,2193.8,34.82,7108.14,0.49,78.12,97.21,455.93,27.23,11.02,17.93,3.59,2.89,BALAMINES,Specialty Chemicals
408.0,Bajaj Finance,996.55,30.38,620447.51,0.55,6080.6,27.37,23165.45,18.65,10.87,19.47,5.39,1.79,BAJFINANCE,Financial Services
409.0,Rail Vikas,206.8,47.89,43118.19,0.83,159.52,18.46,4321.23,10.55,10.8,15.62,4.28,1.71,RVNL,Construction
410.0,ICE Make Refrig.,665.25,96.59,1049.76,0.35,-1.41,-1.44,176.08,57.41,10.77,17.58,7.73,4.86,ICEMAKE,Specialty Industrial Machinery
411.0,Arihant Super.,243.5,26.38,1053.14,0.1,9.78,-38.53,131.59,8.79,10.55,18.22,2.89,2.21,ARIHANTSUP,Real Estate - Development
412.0,KNR Construct.,120.25,9.87,3381.88,0.21,80.73,-77.24,587.94,-4.04,10.36,18.94,0.68,1.71,KNRCON,Engineering & Construction
413.0,SBI Cards,610.15,25.53,58064.51,0.4,664.44,19.51,5040.55,3.36,10.1,20.35,3.76,1.79,SBICARD,Financial Services
414.0,Adit.Birla Money,118.7,11.84,670.77,0.0,11.13,-27.63,130.77,16.02,9.91,33.57,2.22,2.21,BIRLAMONEY,Capital Markets
415.0,Chola Financial,1400.3,9.87,26294.42,0.09,1788.99,39.32,11113.57,19.55,9.75,17.78,1.67,0.77,CHOLAHLDNG,Financial Services
416.0,Cholaman.Inv.&Fn,1660.0,24.67,141815.59,0.12,1656.22,45.56,8856.29,21.87,9.71,19.32,4.61,1.79,CHOLAFIN,Financial Services
417.0,Power Fin.Corpn.,338.0,4.27,111543.43,5.46,8997.92,2.12,28526.86,-0.04,9.71,19.67,0.78,2.04,PFC,Financial Services
418.0,REC Ltd,312.5,5.1,82288.25,5.89,4192.76,-6.11,14434.92,-2.05,9.71,19.75,0.96,2.04,RECLTD,Financial Services
419.0,Mold-Tek Technol,198.8,31.1,572.64,2.03,9.0,1223.53,59.54,78.85,9.53,17.79,4.47,1.71,MOLDTECH,Engineering & Construction
420.0,Krishna Institu.,779.75,157.06,32750.01,0.0,37.4,-47.2,1179.5,35.33,9.5,17.5,13.93,6.18,KIMS,Healthcare
421.0,Wonder Electric.,74.75,83.13,1001.7,0.13,4.04,263.96,233.64,50.99,9.42,18.26,11.29,4.75,WEL,"Furnishings, Fixtures & Appliances"
422.0,Balrampur Chini,684.4,39.0,14481.67,0.52,44.15,-14.39,1636.79,6.13,9.27,16.69,3.32,0.99,BALRAMCHIN,Fast Moving Consumer Goods
423.0,Can Fin Homes,754.0,8.92,10039.85,2.01,267.82,19.63,1096.15,7.43,9.14,18.97,1.64,1.69,CANFINHOME,Financial Services
424.0,Power Grid Corpn,269.2,15.71,250372.27,3.38,3598.42,-0.89,11496.72,2.68,9.1,17.05,2.48,2.05,POWERGRID,Power
425.0,Triven.Engg.Ind.,247.65,20.82,5457.25,1.12,3.65,155.14,1580.52,2.11,9.02,17.29,1.59,0.99,TRIVENI,Confectioners
426.0,N R Agarwal Inds,667.45,17.21,1135.93,0.3,34.98,111.36,646.96,43.09,8.49,16.2,1.41,0.76,NRAIL,Paper & Paper Products
427.0,Yasho Industries,4207.65,97.01,5073.2,0.01,36.44,547.25,314.09,58.73,8.44,16.27,11.51,2.89,YASHO,Specialty Chemicals
428.0,HEG Advanced Materials,244.75,13.36,4723.17,1.39,122.34,22.57,680.79,11.1,8.35,16.97,0.99,2.48,HEGAM,Capital Goods
429.0,Manappuram Fin.,334.0,21.67,31373.82,0.62,584.77,322.45,3034.16,34.11,8.25,16.78,1.97,1.79,MANAPPURAM,Financial Services
430.0,Indo Count Inds.,447.3,58.77,8858.94,0.33,63.22,62.02,1206.96,25.89,8.19,15.24,3.71,1.68,ICIL,Textile Manufacturing
431.0,Mahindra Holiday,200.6,86.69,4053.49,0.0,-8.55,-210.04,732.81,4.48,8.12,16.07,5.2,2.23,MHRIL,Resorts & Casinos
432.0,TTK Healthcare,1025.0,18.89,1448.35,1.01,21.28,63.69,257.56,13.75,8.04,19.29,1.3,1.51,TTKHLTCARE,Drug Manufacturers - General
433.0,PSP Projects,813.1,43.9,3223.26,0.0,18.34,4266.67,853.47,64.84,7.88,15.59,2.55,1.71,PSPPROJECT,Engineering & Construction
434.0,Maan Aluminium,100.4,44.95,602.24,0.0,3.1,13.55,231.86,9.79,7.74,19.03,2.21,2.65,MAANALU,Aluminum
435.0,Agarwal Indl.,397.0,14.53,593.83,0.82,10.35,-20.57,433.31,-27.0,7.73,17.53,0.86,1.45,AGARIND,Specialty Chemicals
436.0,Lux Industries,1177.95,34.19,3542.28,0.17,21.98,-8.11,615.25,1.78,7.68,16.0,1.91,2.45,LUXIND,Apparel Manufacturing
437.0,Maithan Alloys,957.2,9.59,2786.62,1.73,395.72,-26.69,539.53,-14.67,7.67,17.89,0.68,1.39,MAITHANALL,Steel
438.0,AU Small Finance,1018.15,26.75,76420.07,0.1,795.95,37.03,5302.74,21.11,7.66,15.88,3.76,1.24,AUBANK,Financial Services
439.0,JK Paper,409.3,22.72,7421.36,0.95,136.27,64.46,1887.17,13.61,7.39,15.99,1.38,0.76,JKPAPER,Paper & Paper Products
440.0,NELCO,976.8,373.38,2229.03,0.1,2.34,15.56,80.03,7.01,7.21,17.63,17.29,4.6,NELCO,Communication Equipment
441.0,HDFC Bank,735.7,14.3,1134206.62,1.77,20382.69,18.37,90575.33,3.67,7.02,15.82,1.88,1.34,HDFCBANK,Financial Services
442.0,Avadh Sugar,797.9,23.74,1597.24,1.28,0.23,102.73,779.25,8.74,6.83,15.75,1.39,0.99,AVADHSUGAR,Confectioners
443.0,Dwarikesh Sugar,44.82,57.24,830.49,0.24,-25.73,-174.31,358.13,-11.68,4.62,16.08,1.07,0.99,DWARKESH,Confectioners
444.0,Satia Industries,67.03,,670.3,0.58,-17.12,-154.18,361.81,-2.46,3.94,18.65,0.62,0.76,SATIA,Paper & Paper Products
445.0,Raymond,1200.15,47.5,7989.87,0.0,30.85,1.85,605.61,15.51,3.14,61.44,2.81,4.86,RAYMOND,Specialty Industrial Machinery
446.0,Tata Motors PVeh,290.3,107.3,106917.37,1.01,859.0,-69.83,95799.0,9.26,2.73,19.94,0.98,4.69,TMPV,Automobile and Auto Components
447.0,Hinduja Global,373.95,,1739.59,1.32,-66.26,-45.26,1050.36,-0.56,1.46,17.5,0.21,4.08,HGS,Specialty Business Services
448.0,A B Real Estate,1231.0,,13749.75,0.21,-34.59,-59.41,188.85,29.74,-4.48,20.82,3.74,2.21,ABREL,Realty
