S.No.,Company,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,ROE 10Yr  %,CMP / BV,Ind PBV,Symbol,Industry
82.0,Acutaas Chemical,3279.0,69.55,26845.52,0.08,74.99,67.67,329.67,59.08,31.56,19.67,16.23,4.16,ACUTAAS,Healthcare
83.0,ADC India,2388.0,48.75,1098.48,1.04,8.58,72.64,63.42,40.59,31.44,19.55,12.65,8.92,523411,Telecommunications - Equipment
84.0,Pidilite Inds.,1508.0,57.98,153595.85,0.76,883.51,28.18,4551.55,21.27,31.02,23.22,14.28,2.89,PIDILITIND,Chemicals
85.0,Banco Products,600.2,17.82,8585.09,3.78,122.38,11.74,1183.9,22.04,30.91,20.63,5.09,3.65,BANCOINDIA,Auto Parts
86.0,Nirlon,606.95,15.33,5469.84,4.94,69.38,18.78,168.31,3.26,30.77,31.34,11.67,2.03,NIRLON,Real Estate Services
87.0,Eco Recyc.,419.75,33.69,809.99,0.22,9.17,11.15,16.19,75.22,30.75,15.89,7.35,2.58,ECORECO,Waste Management
88.0,SKM Egg Prod.,220.7,10.49,1162.23,0.56,23.82,46.5,184.26,4.87,30.7,20.46,2.91,1.47,SKMEGGPROD,Packaged Foods
89.0,Sonata Software,280.15,15.57,7856.11,2.78,108.11,-1.12,3279.1,10.59,30.67,31.72,4.1,3.52,SONATSOFTW,Information Technology
90.0,Eicher Motors,7350.65,34.7,201791.37,1.12,1462.51,21.35,6632.42,31.55,30.53,22.5,8.03,8.02,EICHERMOT,Automobile and Auto Components
91.0,Engineers India,317.1,22.75,17822.39,1.55,157.94,141.5,819.84,-5.8,30.4,17.14,5.64,1.71,ENGINERSIN,Construction
92.0,HCL Technologies,1260.0,18.83,341921.78,4.26,4626.0,20.32,34579.0,13.94,30.4,23.61,4.58,3.52,HCLTECH,Information Technology
93.0,Kirl.Pneumatic,693.3,32.97,9007.8,0.86,34.1,21.35,300.3,10.4,30.3,15.95,7.22,6.48,KIRLPNU,Specialty Industrial Machinery
94.0,MSTC,740.0,22.22,5209.58,2.06,58.22,37.51,94.24,21.71,30.28,17.26,5.75,2.54,MSTCLTD,Conglomerates
95.0,Godfrey Phillips,1968.0,22.44,30697.19,2.49,198.39,-44.32,1205.51,-18.89,30.25,16.64,4.94,3.4,GODFRYPHLP,Fast Moving Consumer Goods
96.0,Sharda Cropchem,749.55,10.79,6762.5,2.01,88.02,-38.34,1073.77,9.03,30.25,15.53,2.14,2.36,SHARDACROP,Agricultural Inputs
97.0,Shaily Engineer.,3106.6,80.43,14288.9,0.1,52.47,45.87,274.78,22.07,30.17,15.83,22.0,2.09,SHAILY,Specialty Chemicals
98.0,Hexaware Tech.,497.5,21.45,30398.02,2.31,330.2,-13.16,3845.2,17.93,30.07,23.63,4.58,3.52,HEXT,Information Technology
99.0,Bajaj Consumer,500.0,29.27,6530.94,0.0,70.75,84.82,341.56,24.94,30.05,27.49,8.61,8.68,BAJAJCON,Household & Personal Products
100.0,Tata Elxsi,3186.0,28.2,19850.59,2.36,170.6,18.17,1021.11,14.46,30.0,31.76,6.5,3.52,TATAELXSI,Information Technology
101.0,Axtel Industries,437.0,22.62,705.97,2.75,1.96,3.16,32.31,18.7,29.95,21.28,5.65,4.86,AXTEL,Specialty Industrial Machinery
102.0,A B B,7031.85,96.64,149010.83,0.55,362.3,8.03,3558.87,21.03,29.93,17.15,15.99,5.21,ABB,Capital Goods
103.0,Benares Hotels,10200.2,30.13,1326.02,0.24,8.25,8.84,33.89,35.51,29.83,18.54,6.24,2.23,BENARAS,Lodging
104.0,BLS Internat.,224.05,13.07,9225.09,1.12,201.63,11.15,890.53,25.33,29.79,29.51,3.73,2.63,BLS,Consumer Services
105.0,Dynacons Sys.,1022.9,15.36,1302.87,0.05,19.56,-0.25,311.19,-5.32,29.73,32.0,4.12,3.01,DSSL,Information Technology Services
106.0,LTM,4068.0,21.55,120665.53,1.85,1468.6,16.92,11608.0,17.96,29.6,26.94,4.95,3.52,LTM,Information Technology
107.0,Kamdhenu,39.97,13.15,1126.69,1.04,28.69,33.94,213.35,8.97,29.52,17.51,2.85,2.04,KAMDHENU,Steel
108.0,Fiem Industries,1958.8,19.64,5155.44,2.02,64.88,12.8,775.39,17.68,29.34,17.3,4.23,3.65,FIEMIND,Auto Parts
109.0,NBCC,82.5,32.57,22275.0,1.2,158.01,17.18,2259.53,-5.51,29.32,19.89,7.34,1.71,NBCC,Construction
110.0,Astrazeneca Phar,6612.75,95.3,16531.88,0.54,37.93,-32.04,682.79,29.73,29.26,20.5,18.97,4.16,ASTRAZEN,Drug Manufacturers - Specialty & Generic
111.0,Dixon Technolog.,13410.0,43.69,82029.74,0.08,717.83,194.89,15547.66,21.13,29.21,22.42,17.45,3.29,DIXON,Consumer Durables
112.0,Global Education,135.9,27.99,691.74,0.72,4.39,0.23,13.5,-6.12,29.2,27.57,5.59,2.05,GLOBAL,Education & Training Services
113.0,InfoBeans Tech.,147.55,16.83,1430.86,0.33,21.62,-7.29,152.77,36.58,29.18,17.47,3.44,3.52,INFOBEAN,Software - Application
114.0,Bayer Crop Sci.,3719.45,22.84,16716.01,3.98,321.6,15.39,1835.0,-4.16,29.14,21.46,5.61,2.36,BAYERCROP,Chemicals
115.0,Macpower CNC,2050.0,52.77,2050.85,0.07,9.58,110.09,95.24,56.05,29.11,17.39,11.69,4.86,MACPOWER,Specialty Industrial Machinery
116.0,Premier Polyfilm,95.5,28.63,1000.32,0.15,9.08,51.33,87.92,35.07,28.86,19.43,6.78,2.31,PREMIERPOL,Specialty Chemicals
117.0,Jyothy Labs,191.25,24.78,7023.02,1.83,47.64,-50.78,773.4,2.95,28.66,25.58,4.4,3.07,JYOTHYLAB,Household & Personal Products
118.0,Kothari Petroche,133.51,10.9,785.64,0.74,17.02,-3.19,146.5,-8.82,28.6,21.67,2.11,1.45,KOTHARIPET,Specialty Chemicals
119.0,Gandhi Spl. Tube,965.0,14.45,1088.86,1.55,27.94,29.29,57.2,18.89,28.44,20.21,3.7,2.04,GANDHITUBE,Metal Fabrication
120.0,Hind. Unilever,1937.6,41.3,455256.75,2.11,2680.0,-3.72,17341.0,10.05,28.42,28.09,9.27,4.63,HINDUNILVR,Fast Moving Consumer Goods
121.0,Trent,2668.0,77.8,142266.5,0.15,518.07,20.79,5754.71,17.84,28.34,16.95,20.45,4.01,TRENT,Consumer Services
122.0,Bajaj Auto,11300.0,26.38,310528.29,1.34,3188.75,45.93,21688.83,65.14,28.24,23.19,8.13,8.02,BAJAJ-AUTO,Automobile and Auto Components
123.0,VST Industries,205.9,12.6,3497.45,5.83,42.42,-24.43,256.46,-13.91,28.13,27.86,2.42,3.4,VSTIND,Tobacco
124.0,Emami,389.4,22.41,16997.32,2.61,138.94,-16.38,1039.21,14.95,28.09,25.53,5.81,8.68,EMAMILTD,Fast Moving Consumer Goods
125.0,Dr Lal Pathlabs,1954.0,58.29,32797.72,0.71,170.5,28.02,797.7,19.1,28.0,22.46,13.1,5.54,LALPATHLAB,Healthcare
126.0,Shraddha Prime,148.0,9.29,597.93,0.2,19.3,114.68,107.72,222.51,27.98,37.1,4.54,2.21,SHRADDHA,Real Estate - Development
127.0,Schaeffler India,4000.6,48.46,62530.87,0.87,336.73,13.67,2681.41,17.5,27.9,18.21,9.99,3.65,SCHAEFFLER,Automobile and Auto Components
128.0,Alldigi Tech,778.0,12.85,1185.54,7.7,18.12,21.69,150.28,4.43,27.89,22.7,4.71,4.08,ALLDIGI,Specialty Business Services
129.0,Nitta Gelatin,1701.35,14.87,1544.82,0.42,25.18,28.39,140.87,1.5,27.7,17.46,3.03,2.89,NITTAGELA,Specialty Chemicals
130.0,Ceinsys Tech,691.05,10.8,1446.9,0.51,30.95,-2.18,157.79,0.76,27.69,17.76,2.12,3.52,CEINSYS,Engineering & Construction
131.0,Monarch Networth,360.65,15.77,2860.25,0.27,45.18,-0.15,90.89,-7.24,27.68,25.84,2.95,2.21,MONARCH,Capital Markets
132.0,Danlaw Tech.,1521.0,29.11,740.81,0.0,5.93,70.89,73.72,34.6,27.59,17.99,7.43,4.86,532329,Electronics - Components
133.0,NMDC,80.0,9.42,70334.49,3.13,1976.23,0.44,6795.25,0.84,27.58,21.13,2.08,2.2,NMDC,Metals & Mining
134.0,TAAL Tech,1081.45,27.1,1685.1,1.24,19.43,41.72,64.81,41.6,27.48,28.36,6.84,6.69,TAALTECH,Airports & Air Services
135.0,Krishana Phosch.,186.69,29.32,5771.31,0.05,47.09,53.99,532.31,34.58,27.24,20.26,10.29,1.82,KRISHANA,Agricultural Inputs
136.0,Gulf Oil Lubric.,1104.85,13.77,5475.16,4.64,127.52,31.93,1320.36,32.52,27.23,25.89,3.52,2.3,GULFOILLUB,Specialty Chemicals
137.0,L&T Technology,3209.3,25.31,34046.32,1.81,357.1,17.38,2940.1,11.47,26.71,25.1,5.24,3.01,LTTS,Information Technology
138.0,Disa India,11857.85,32.15,1724.38,1.69,10.58,-18.87,87.16,-14.52,26.63,18.12,5.65,4.86,DISAQ,Industrial Machinery
139.0,Stylam Industrie,3370.0,33.71,5711.48,0.0,48.15,70.38,326.47,15.37,26.58,22.13,7.11,2.53,STYLAMIND,"Furnishings, Fixtures & Appliances"
140.0,Shivalik Bimetal,1155.8,62.49,6657.89,0.35,33.01,44.07,182.2,33.38,26.57,24.19,13.79,2.04,SBCL,Metal Fabrication
141.0,United Spirits,1427.7,56.08,103843.89,1.18,463.0,-20.54,2708.0,-10.36,26.39,19.69,11.63,2.19,UNITDSPR,Fast Moving Consumer Goods
142.0,Ashoka Buildcon,113.15,4.75,3176.34,0.0,127.17,-41.23,1499.61,-20.53,26.36,19.47,0.48,1.71,ASHOKA,Engineering & Construction
143.0,Asian Paints,2448.0,48.25,234811.63,1.15,1559.45,39.96,10541.94,17.94,26.34,25.31,10.93,4.51,ASIANPAINT,Consumer Durables
144.0,Tanla Platforms,495.0,12.36,6565.41,2.42,142.17,20.07,1226.39,17.85,26.32,22.91,2.63,1.96,TANLA,Software - Application
145.0,CARE Ratings,1628.0,27.63,4903.27,1.35,32.99,25.14,111.68,18.92,26.3,18.72,5.25,4.42,CARERATING,Financial Data & Stock Exchanges
146.0,KMC Speciality,156.5,45.76,2552.53,0.0,16.57,119.76,91.78,37.91,26.24,23.46,12.07,6.18,KMCSHIL,Medical Care Facilities
147.0,Dynamic Cables,465.2,24.76,2254.32,0.11,24.95,37.01,349.1,33.22,26.21,19.53,5.01,4.37,DYCL,Electrical Equipment & Parts
148.0,Jamna Auto Inds.,138.15,22.92,5525.79,1.78,48.52,6.05,611.46,6.65,26.05,22.21,4.74,3.65,JAMNAAUTO,Auto Parts
149.0,D-Link India,422.55,13.98,1500.23,6.14,27.61,13.25,456.96,30.5,25.89,17.23,2.97,4.6,DLINKINDIA,Communication Equipment
150.0,Goldiam Intl.,326.1,23.3,4909.64,0.64,73.98,119.59,326.03,41.92,25.79,15.07,4.42,3.32,GOLDIAM,Luxury Goods
151.0,RPG LifeScience.,3050.0,43.23,5044.41,0.79,30.57,16.28,195.69,15.85,25.71,20.14,8.32,4.16,RPGLIFE,Drug Manufacturers - Specialty & Generic
152.0,B P C L,307.5,8.57,133409.02,5.68,-1872.7,-154.52,151277.03,34.41,25.64,23.55,1.34,1.84,BPCL,Oil Gas & Consumable Fuels
153.0,Dhabriya Poly.,483.0,16.1,522.8,0.14,8.86,35.47,68.31,10.02,25.64,16.77,4.01,2.31,DHABRIYA,Building Products & Equipment
154.0,Shanthi Gears,665.05,75.83,5101.98,0.78,9.85,-56.59,115.49,-14.38,25.55,16.13,11.58,4.86,SHANTIGEAR,Specialty Industrial Machinery
155.0,Thangamayil Jew.,5134.0,40.7,15957.53,0.34,85.09,86.15,2666.38,71.16,25.49,22.19,11.24,3.32,THANGAMAYL,Luxury Goods
156.0,3B Blackbio,1451.5,22.43,1245.76,0.35,8.98,-24.31,33.49,50.65,25.48,26.83,3.86,5.54,3BBLACKBIO,Biotechnology
157.0,Saksoft,141.7,14.03,1878.24,0.71,29.29,-9.46,248.62,-0.18,25.48,19.97,2.41,3.52,SAKSOFT,Information Technology Services
158.0,Vimta Labs,600.25,33.17,2683.14,0.33,21.04,11.38,109.07,11.8,25.23,15.33,5.84,3.2,VIMTALABS,Diagnostics & Research
159.0,Chambal Fert.,418.0,8.66,16747.26,2.68,523.6,-4.62,5027.02,-11.77,25.17,21.79,1.62,1.82,CHAMBLFERT,Chemicals
160.0,Supriya Lifesci.,988.8,40.03,7958.15,0.1,24.04,-30.9,189.75,30.8,25.17,23.13,6.65,4.16,SUPRIYA,Biotechnology
161.0,Radhika Jeweltec,69.3,10.27,817.74,0.0,22.85,25.48,152.54,53.85,25.04,15.66,2.07,3.32,RADHIKAJWE,Luxury Goods
162.0,Newgen Software,485.5,20.23,6918.84,1.21,62.82,26.35,356.68,11.23,25.01,20.75,3.85,3.52,NEWGEN,Information Technology
163.0,Havells India,1093.4,41.15,68617.61,0.93,289.71,-16.49,6518.19,19.48,24.9,18.95,7.27,3.29,HAVELLS,Consumer Durables
164.0,Vadilal Enterp.,10300.0,64.9,885.8,0.01,23.3,15.92,703.66,36.18,24.85,26.02,26.85,3.96,VADILENT,Food Distribution
